RN2,10K,TopLayer,EXBV8V,1100,1220,360,"ResistorBasic schematic elements and footprints for 0603, 1206, and PTH resistors."
RN3,10K,TopLayer,EXBV8V,1140,985,0,"ResistorBasic schematic elements and footprints for 0603, 1206, and PTH resistors."
TF1,TF_Card,BottomLayer,TF-2,707.284,957,90,Array Chip Resistor   Source: RS Component / Phycomp
U1,STM32H743VIT6,TopLayer,LQFP100,700,645,0,Array Chip Resistor   Source: RS Component / Phycomp
U2,OV7725,TopLayer,CSP2-28,699.015,1410,270,Array Chip Resistor   Source: RS Component / Phycomp
U5,TPS731XX,TopLayer,SOT23-5,1270,1345,360,
U8,PAM2305AABADJ,TopLayer,SOT23-5,595,190,180,
X1,MF-CON-MICROUSB-RIGHT,TopLayer,MICROUSB-RIGHT,1070,114.84,0,
X4,S2B-PH-K-S(LF)(SN),TopLayer,JST-PH-2-THM-RA,275,250,180,
Y1,7S-12.000MAHE-T,TopLayer,XTAL-SMD-3225_4P,234.015,660.985,270,
,,,,,,,Library:  MF_Connectors Description: 5 Pin USB Connectors. SLD is the shield connection. Usually tied to ground through a small ferrite bead.
,,,,,,,JST 2-Pin Connectors of various flavors SMT-RA (S2B-PH-SM4) 4UConnector #17311  SMT  (B2B-PH-SM4)  THM-RA (S2B-PH)  THM  (B2B-PH)
,,,,,,,CrystalsVarious standard crystals. Proven footprints. Spark Fun Electronics SKU : COM-00534
