Altium Designer Pick and Place Locations
C:\Users\12566\Desktop\ÁÙÊ±ÎÄ¼þ¼Ð\OpenMV4\Project Outputs for OpenMV4\Pick Place for openmv4_PCB.csv

========================================================================================================================
File Design Information:

Date:       26/11/19
Time:       12:50
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C44","22uF","TopLayer","C0805","690.000","215.000","90","CapacitorStandard 0603 ceramic capacitor, and 0.1" leaded capacitor."
"C48","2.2uF","TopLayer","C0603","1150.000","845.000","360","CapacitorStandard 0603 ceramic capacitor, and 0.1" leaded capacitor."
"C49","2.2uF","TopLayer","C0603","785.000","255.000","180","CapacitorStandard 0603 ceramic capacitor, and 0.1" leaded capacitor."
"D3","SDM2U20SD3-7","TopLayer","SOD323","795.000","40.000","180","DiodeThese are standard reverse protection diodes and small signal diodes. SMA package can handle up to about 1A. SOD-323 can handle about 200mA. What the SOD-323 package when ordering, there are some mfgs out there that are 5-pin packages."
"JP1","PINHD-1X8","TopLayer","1X08","65.000","410.000","270","PIN HEADER"
"JP2","PINHD-1X8","TopLayer","1X08","1335.000","420.000","270","PIN HEADER"
"JP3","PINHD-1X6","TopLayer","1X06","1185.000","520.000","270","PIN HEADER"
"L1","MPZ1608S181ATAH0","TopLayer","l0603","195.000","410.000","270","InductorsBasic Inductor/Choke - 0603 and 1206. Footprints are not proven and vary greatly between part numbers."
"L2","MPZ1608S181ATAH0","TopLayer","l0603","910.000","255.000","180","InductorsBasic Inductor/Choke - 0603 and 1206. Footprints are not proven and vary greatly between part numbers."
"L3","4.7uH/1.4A","TopLayer","1007","595.000","50.000","270","InductorsBasic Inductor/Choke - 0603 and 1206. Footprints are not proven and vary greatly between part numbers."
"LED1","LED-TRICOLOR","TopLayer","LED-TRICOLOR-SMD-MF","95.000","1185.000","0","Tri-Color LED SMDProven layout and schematic for triple color LED in SMD package - common anode. Spark Fun Electronics SKU : COM-07844"
"LED2","VSMY12850","TopLayer","LED-1206","1115.000","1650.000","270","LEDsStandard schematic elements and footprints for 5mm, 3mm, 1206, and 0603 sized LEDs. 5mm - Spark Fun Electronics SKU : COM-00529 (and others)"
"LED3","VSMY12850","TopLayer","LED-1206","285.000","1650.000","270","LEDsStandard schematic elements and footprints for 5mm, 3mm, 1206, and 0603 sized LEDs. 5mm - Spark Fun Electronics SKU : COM-00529 (and others)"
"LM1","LENSMOUNT20MM","TopLayer","LENSMOUNT-20MM","700.000","1410.000","360",""
"Q1","BSS138","TopLayer","SOT23-3","135.000","986.970","0",""
"Q2","Si2301BDS","TopLayer","SOT23-3","790.000","146.970","0",""
"R1","10R","TopLayer","R0603","229.000","985.496","270","ResistorBasic schematic elements and footprints for 0603, 1206, and PTH resistors."
"R2","10K","TopLayer","R0603","40.000","985.000","270","ResistorBasic schematic elements and footprints for 0603, 1206, and PTH resistors."
"R3","4.7K","TopLayer","R0603","920.000","1516.496","90","ResistorBasic schematic elements and footprints for 0603, 1206, and PTH resistors."
"R4","4.7K","TopLayer","R0603","891.496","1256.000","180","ResistorBasic schematic elements and footprints for 0603, 1206, and PTH resistors."
"R5","100K","TopLayer","R0603","500.000","220.000","270","ResistorBasic schematic elements and footprints for 0603, 1206, and PTH resistors."
"R6","4.7K","TopLayer","R0603","891.496","1310.000","180","ResistorBasic schematic elements and footprints for 0603, 1206, and PTH resistors."
"R7","10k","TopLayer","R0603","891.496","1365.000","180","ResistorBasic schematic elements and footprints for 0603, 1206, and PTH resistors."
"R9","10K","TopLayer","R0603","690.000","70.000","270","ResistorBasic schematic elements and footprints for 0603, 1206, and PTH resistors."
"R10","453K","TopLayer","R0603","500.000","95.000","270","ResistorBasic schematic elements and footprints for 0603, 1206, and PTH resistors."
"RN1","220R","TopLayer","EXBV8V","262.500","1185.000","270","Array Chip Resistor   Source: RS Component / Phycomp"
"RN2","10K","TopLayer","EXBV8V","1100.000","1220.000","360","Array Chip Resistor   Source: RS Component / Phycomp"
"RN3","10K","TopLayer","EXBV8V","1140.000","985.000","0","Array Chip Resistor   Source: RS Component / Phycomp"
"TF1","TF_Card","BottomLayer","TF-2","707.284","957.000","90",""
"U1","STM32H743VIT6","TopLayer","LQFP100","700.000","645.000","0",""
"U2","OV7725","TopLayer","CSP2-28","699.015","1410.000","270",""
"U5","TPS731XX","TopLayer","SOT23-5","1270.000","1345.000","360",""
"U8","PAM2305AABADJ","TopLayer","SOT23-5","595.000","190.000","180",""
"X1","MF-CON-MICROUSB-RIGHT","TopLayer","MICROUSB-RIGHT","1070.000","114.840","0","Library:  MF_Connectors Description: 5 Pin USB Connectors. SLD is the shield connection. Usually tied to ground through a small ferrite bead."
"X4","S2B-PH-K-S(LF)(SN)","TopLayer","JST-PH-2-THM-RA","275.000","250.000","180","JST 2-Pin Connectors of various flavors SMT-RA (S2B-PH-SM4) 4UConnector #17311  SMT  (B2B-PH-SM4)  THM-RA (S2B-PH)  THM  (B2B-PH)"
"Y1","7S-12.000MAHE-T","TopLayer","XTAL-SMD-3225_4P","234.015","660.985","270","CrystalsVarious standard crystals. Proven footprints. Spark Fun Electronics SKU : COM-00534"
